1. The security team is concerned because the number of AWS Identity and Access Management (IAM) policies being used in the environment is increasing. The team tasked a SysOps administrator to report on the current number of IAM policies in use and the total available IAM policies. Which AWS service should the administrator use to check how current IAM policy usage compares to current service limits?	A. AWS Trusted Advisor	B. Amazon Inspector	C. AWS Config	D. AWS Organizations	A
202. A company is expanding globally and needs to back up data on Amazon Elastic Block Store (Amazon EBS) volumes to a different AWS Region. Most of the EBS volumes that store the data are encrypted, but some of the EBS volumes are unencrypted. The company needs the backup data from all the EBS volumes to be encrypted. <br />Which solution will meet these requirements with the LEAST management overhead? 	A. Configure a lifecycle policy in Amazon Data Lifecycle Manager (Amazon DLM) to create the EBS volume snapshots with cross-Region backups enabled. Encrypt the snapshot copies by using AWS Key Management Service (AWS KMS).	B. Create a point-in-time snapshot of the EBS volumes. When the snapshot status is COMPLETED, copy the snapshots to another Region and set the Encrypted parameter to False.	C. Create a point-in-time snapshot of the EBS volumes. Copy the snapshots to an Amazon S3 bucket that uses server-side encryption. Turn on S3 Cross-Region Replication on the S3 bucket.	D. Schedule an AWS Lambda function with the Python runtime. Configure the Lambda function to create the EBS volume snapshots, encrypt the unencrypted snapshots, and copy the snapshots to another Region.	B
203 A company has an initiative to reduce costs associated with Amazon EC2 and AWS Lambda. <br />Which action should a SysOps administrator take to meet these requirements?	A. Analyze the AWS Cost and Usage Report by using Amazon Athena to identity cost savings.	B. Create an AWS Budgets alert to alarm when account spend reaches 80% of the budget.	C. Purchase Reserved Instances through the Amazon EC2 console.	D. Use AWS Compute Optimizer and take action on the provided recommendations.	D
204. A company uses AWS Organizations. A SysOps administrator wants to use AWS Compute Optimizer and AWS tag policies in the management account to govern all member accounts in the billing family. The SysOps administrator navigates to the AWS Organizations console but cannot activate tag policies through the management account. <br />What could be the reason for this issue? 	A. All features have not been enabled in the organization.	B. Consolidated billing has not been enabled.	C. The member accounts do not have tags enabled for cost allocation.	D. The member accounts have not manually enabled trusted access for Compute Optimizer.	C
205. A user working in the Amazon EC2 console increased the size of an Amazon Elastic Block Store (Amazon EBS) volume attached to an Amazon EC2 Windows instance. The change is not reflected in the file system. <br />What should a SysOps administrator do to resolve this issue? 	A. Extend the file system with operating system-level tools to use the new storage capacity.	B. Reattach the EBS volume to the EC2 instance.	C. Reboot the EC2 instance that is attached to the EBS volume.	D. Take a snapshot of the EBS volume. Replace the original volume with a volume that is created from the snapshot.	B
206. A SysOps administrator is reviewing AWS Trusted Advisor warnings and encounters a warning for an S3 bucket policy that has open access permissions. While discussing the issue with the bucket owner, the administrator realizes the S3 bucket is an origin for an Amazon CloudFront web distribution. <br />Which action should the administrator take to ensure that users access objects in Amazon S3 by using only CloudFront URLs? 	A. Encrypt the S3 bucket content with Server-Side Encryption with Amazon S3-Managed Keys (SSE- S3).	B. Create an origin access identity and grant it permissions to read objects in the S3 bucket.	C. Assign an 1AM user to the CludFront distribution and grant the user permissions in the S3 bucket policy.	D. Assign a 1AM role to the CloudFront distribution and grant the role permissions in the S3 bucket policy	B
207. A SysOps administrator is reviewing AWS Trusted Advisor recommendations. The SysOps administrator notices that all the application servers for a finance application are listed in the Low Utilization Amazon EC2 Instances check. The application runs on three instances across three Availability Zones. The SysOps administrator must reduce the cost of running the application without affecting the application's availability or design. <br />Which solution will meet these requirements? 	A. Reduce the number of application servers.	B. Apply rightsizing recommendations from AWS Cost Explorer to reduce the instance size.	C. Provision an Application Load Balancer in front of the instances.	D. Scale up the instance size of the application servers.	C
206. A company is undergoing an external audit of its systems, which run wholly on AWS. A SysOps administrator must supply documentation of Payment Card Industry Data Security Standard (PCI DSS) compliance for the infrastructure managed by AWS. <br />Which set of action should the SysOps administrator take to meet this requirement? 	A. Download the applicable reports from the AWS Artifact portal and supply these to the auditors.	B. Download complete copies of the AWS CloudTrail log files and supply these to the auditors.	C. Download complete copies of the AWS CloudWatch logs and supply these to the auditors.	D. Provide the auditors with administrative access to the production AWS account so that the auditors can determine compliance.	A
209. A company wants to collect data from an application to use for analytics. For the first 90 days, the data will be infrequently accessed but must remain highly available. During this time, the company's analytics team requires access to the data in milliseconds. However, after 90 days, the company must retain the data for the long term at a lower cost. The retrieval time after 90 days must be less than 5 hours. <br />Which solution will meet these requirements MOST cost-effectively?	A. Store the data in S3 Standard-Infrequent Access (S3 Standard-IA) for the first 90 days. Set up an S3 Lifecycle rule to move the data to S3 Glacier Flexible Retrieval after 90 days.	B. Store the data in S3 One Zone-Infrequent Access (S3 One Zone-IA) for the first 90 days. Set up an S3 Lifecycle rule to move the data to S3 Glacier Deep Archive after 90 days.	C. Store the data in S3 Standard for the first 90 days. Set up an S3 Lifecycle rule to move the data to S3 Glacier Flexible Retrieval after 90 days.	D. Store the data in S3 Standard for the first 90 days. Set up an S3 Lifecycle rule to move the data to S3 Glacier Deep Archive after 90 days.	B
210. A company hosts several write-intensive applications. These applications use a MySQL database that runs on a single Amazon EC2 instance. The company asks a SysOps administrator to implement a highly available database solution that is ideal for multi-tenant workloads. <br/>Which solution should the SysOps administrator implement to meet these requirements? 	A. Create a second EC2 instance for MySQL. Configure the second instance to be a read replica.	B. Migrate the database to an Amazon Aurora DB cluster. Add an Aurora Replica.	C. Migrate the database to an Amazon Aurora multi-master DB cluster.	D. Migrate the database to an Amazon RDS for MySQL DB instance.	C
211. A SysOps administrator created an AWS Cloud Formation template that provisions Amazon EC2 instances, an Elastic Load Balancer (ELB), and an Amazon RDS DB instance. During stack creation, the creation of the EC2 instances and the creation of the ELB are successful. However, the creation of the DB instance fails. <br/>What is the default behavior of CloudFormation in this scenario? 	A. CloudFormation will roll back the stack and delete the stack.	B. CloudFormation will roll back the stack but will not delete the stack.	C. CloudFormation will prompt the user to roll back the stack or continue.	D. CloudFormation will successfully complete the stack but will report a failed status for the DB instance.	C
212. A company needs to deploy a new workload on AWS. The company must encrypt all data at rest and must rotate the encryption keys once each year. The workload uses an Amazon RDS for MySQL Multi- AZ database for data storage. <br/>Which configuration approach will meet these requirements? 	A. Enable Transparent Data Encryption (TDE) in the MySQL configuration file. Manually rotate the key every 12 months.	B. Enable RDS encryption on the database at creation time by using the AWS managed key for Amazon RDS.	C. Create a new AWS Key Management Service (AWS KMS) customer managed key. Enable automatic key rotation. Enable RDS encryption on the database at creation time by using the KMS key.	D. Create a new AWS Key Management Service (AWS KMS) customer managed key. Enable automatic key rotation. Enable encryption on the Amazon Elastic Block Store (Amazon EBS) volumes that are attached to the RDS DB instance.	B
213. A SysOps administrator needs to automate the invocation of an AWS Lambda function. The Lambda function must run at the end of each day to generate a report on data that is stored in an Amazon S3 bucket. <br/>What is the MOST operationally efficient solution that meets these requirements? 	A. Create an Amazon EventBridge {Amazon CloudWatch Events) rule that has an event pattern for Amazon S3 and the Lambda function as a target	B. Create an Amazon EventBridge (Amazon CloudWatch Events) rule that has a schedule and the Lambda function as a target.	C. Create an S3 event notification to invoke the Lambda function whenever objects change in the S3 bucket.	D. Deploy an Amazon EC2 instance with a cron job to invoke the Lambda function.	C
214. A company's SysOps administrator needs to change the AWS Support plan for one of the company's AWS accounts. The account has multi-factor authentication (MFA) activated, and the MFA device is lost. <br/>What should the SysOps administrator do to sign in? 	A. Sign in as a root user by using email and phone verification. Set up a new MFA device. Change the root user password.	B. Sign in as an 1AM user with administrator permissions. Resynchronize the MFA token by using the 1AM console.	C. Sign in as an 1AM user with administrator permissions. Reset the MFA device for the root user by adding a new device.	D. Use the forgot-password process to verify the email address. Set up a new password and MFA device.	A
215. A SysOps administrator has created an AWS Service Catalog portfolio and has shared the portfolio with a second AWS account in the company. The second account is controlled by a different administrator. <br />Which action will the administrator of the second account be able to perform? 	A. Add a product from the imported portfolio to a local portfolio.	B. Add new products to the imported portfolio.	C. Change the launch role for the products contained in the imported portfolio.	D. Customize the products in the imported portfolio.	A
216. A SysOps administrator wants to manage a web server application with AWS Elastic Beanstalk. The Elastic Beanstalk service must maintain full capacity for new deployments at all times. <br/>Which deployment policies satisfy this requirement? (Select TWO.)	A. All at once	B. Immutable	C. Rebuild	D. Rolling	E. Rolling with additional batch	BE
217. A company has a policy that requires all Amazon EC2 instances to have a specific set of tags. If an EC2 instance does not have the required tags, the noncompliant instance should be terminated. <br/>What is the MOST operationally efficient solution that meets these requirements? 	A. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to send all EC2 instance state changes to an AWS Lambda function to determine if each instance is compliant. Terminate any noncompliant instances.	B. Create an 1AM policy that enforces all EC2 instance tag requirements. If the required tags are not in place for an instance, the policy will terminate noncompliant instance.	C. Create an AWS Lambda function to determine if each EC2 instance is compliant and terminate an instance if it is noncompliant. Schedule the Lambda function to invoke every 5 minutes.	D. Create an AWS Config rule to check if the required tags are present. If an EC2 instance is noncompliant, invoke an AWS Systems Manager Automation document to terminate the instance.	C
218. A SysOps administrator wants to upload a file that is 1 TB in size from on-premises to an Amazon S3 bucket using multipart uploads. What should the SysOps administrator do to meet this requirement? 	A. Upload the file using the S3 console	B. Use the s3api copy-object command.	C. Use the s3api put-object command.	D. Use the s3 cp command.	D
219. A SysOps administrator is responsible for a company's security groups. The company wants to maintain a documented trail of any changes that are made to the security groups. The SysOps administrator must receive notification whenever the security groups change. <br />Which solution will meet these requirements? 	A. Set up Amazon Detective to record security group changes. Specify an Amazon CloudWatch Logs log group to store configuration history logs. Create an Amazon Simple Queue Service (Amazon SOS) queue for notifications about configuration changes. Subscribe the SysOps administrator's email address to the SQS queue.	B. Set up AWS Systems Manager Change Manager to record security group changes. Specify an Amazon CloudWatch Logs log group to store configuration history logs. Create an Amazon Simple Notification Service (Amazon SNS) topic for notifications about configuration changes. Subscribe the SysOps administrator's email address to the SNS topic.	C. Set up AWS Config to record security group changes. Specify an Amazon S3 bucket as the location for configuration snapshots and history files. Create an Amazon Simple Notification Service (Amazon SNS) topic for notifications about configuration changes. Subscribe the SysOps administrator's email address to the SNS topic.	D. Set up Amazon Detective to record security group changes. Specify an Amazon S3 bucket as the location for configuration snapshots and history files. Create an Amazon Simple Notification Service (Amazon SNS) topic for notifications about configuration changes. Subscribe the SysOps administrator's email address to the SNS topic.	D
220. A SysOps administrator created an Amazon VPC with an IPv6 CIDR block, which requires access to the internet. However, access from the internet towards the VPC is prohibited. After adding and configuring the required components to the VPC. the administrator is unable to connect to any of the domains that reside on the internet. <br />What additional route destination rule should the administrator add to the route tables	A. Route ;:/0 traffic to a NAT gateway	B. Route ::/0 traffic to an internet gateway	C. Route 0.0.0.0/0 traffic to an egress-only internet gateway	D. Route ::/0 traffic to an egress-only internet gateway	D
221. A company is rolling out a new version of its website. Management wants to deploy the new website in a limited rollout to 20% of the company's customers. The company uses Amazon Route 53 for its website's DNS solution. <br />Which configuration will meet these requirements? 	A. Create a failover routing policy. Within the policy, configure 80% of the website traffic to be sent to the original resource. Configure the remaining 20% of traffic as the failover record that points to the new resource.	B. Create a multivalue answer routing policy. Within the policy, create 4 records with the name and IP address of the original resource. Configure 1 record with the name and IP address of the new resource.	C. Create a latency-based routing policy. Within the policy, configure a record pointing to the original resource with a weight of 80. Configure a record pointing to the new resource with a weight of 20.	D. Create a weighted routing policy. Within the policy, configure a weight of 80 for the record pointing to the original resource. Configure a weight of 20 for the record pointing to the new resource.	C
222. A company needs to view a list of security groups that are open to the internet on port 3389. <br/>What should a SysOps administrator do to meet this requirement? 	A. Configure Amazon GuardDuly to scan security groups and report unrestricted access on port 3389.	B. Configure a service control policy (SCP) to identify security groups that allow unrestricted access on port 3389	C. Use AWS Identity and Access Management Access Analyzer to find any instances that have unrestricted access on port 3389.	D. Use AWS Trusted Advisor to find security groups that allow unrestricted access on port 3389.	D
223. A company has a simple web application that runs on a set of Amazon EC2 instances behind an Elastic Load Balancer in the eu-west-2 Region. Amazon Route 53 holds a DNS record for the application with a simple touting policy. Users from all over the world access the application through their web browsers. The company needs to create additional copies of the application in the us-east-1 Region and in the ap-south-1 Region. The company must direct users to the Region that provides the fastest response times when the users load the application. <br/>What should a SysOps administrator do to meet these requirements? 	A. In each new Region, create a new Elastic Load Balancer and a new set of EC2 Instances to run a copy of the application. Transition to a geolocation routing policy.	B. In each new Region, create a copy of the application on new EC2 instances. Add these new EC2 instances to the Elastic Load Balancer in eu-west-2. Transition to a latency routing policy.	C. In each new Region, create a copy of the application on new EC2 instances. Add these new EC2 instances to the Elastic Load Balancer in eu-west-2. Transition to a multivalue routing policy.	D. In each new Region, create a new Elastic Load Balancer and a new set of EC2 instances to run a copy of the application. Transition to a latency routing policy.	B
224. A company is managing many accounts by using a single organization in AWS Organizations. The organization has all features enabled. The company wants to turn on AWS Config in all the accounts of the organization and in all AWS Regions.<br/>What should a Sysops administrator do to meet these requirements in the MOST operationally efficient way?	A. Use AVVS CloudFormation StackSets to deploy stack instances that turn on AWS Config in all accounts and in all Regions.	B. Use AWS CloudFormation StackSets to deploy stack policies that turn on AWS Config in all accounts and in all Regions.	C. Use service control policies (SCPs) to configure AWS Config in all accounts and in all Regions.	D. Create a script that uses the AWS CLI to turn on AWS Config in all accounts in the organization. Run the script from the organization's management account.	C
225. A company updates its security policy to prohibit the public exposure of any data in Amazon S3 buckets in the company's account. What should a SysOps administrator do to meet this requirement?	A. Turn on S3 Block Public Access from the account level.	B. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to enforce that all S3 objects are private.	C. Use Amazon Inspector to search for S3 buckets and to automatically reset S3 ACLs if any public S3 buckets are found.	D. Use S3 Object Lambda to examine S3 ACLs and to change any public S3 ACLs to private.	A
226. A SysOps administrator needs to secure the credentials for an Amazon RDS database that is created by an AWS CloudFormation template. The solution must encrypt the credentials and must support automatic rotation. <br/>Which solution will meet these requirements? 	A. Create an AWS::SecretsManager::Secret resource in the CloudFormation template. Reference the credentials in the AWS::RDS::DBInstance resource by using the resolve:secretsmanager dynamic reference.	B. Create an AWS::SecretsManager::Secret resource in the CloudFormation template. Reference the credentials in the AWS::RDS::DBInstance resource by using the resolve:ssm-secure dynamic reference.	C. Create an AWS::SSM::Parameter resource in the CloudFormation template. Reference the credentials in the AWS::RDS::DBInstance resource by using the resolve:ssm dynamic reference.	D. Create parameters for the database credentials in the CloudFormation template. Use the Ref intrinsic function to provide the credentials to the AWS::RDS::DBInstance resource.	A
227. A company has two VPC networks named VPC A and VPC B. The VPC A CIDR block is 10.0.0.0/16 and the VPC B CIDR block is 172.31.0.0/16. The company wants to establish a VPC peering connection named pcx-12345 between both VPCs. <br/>Which rules should appear in the route table of VPC A after configuration? (Select TWO.)	A. Destination: 10.0.0.0/16, Target: Local	B. Destination: 172.31.0.0/16, Target: Local	C. Destination: 10.0.0.0/16, Target: pcx-12345	D. Destination: 172.31.0.0/16, Target: pcx-12345	E. Destination: 10.0.0.0/16. Target: 172.31.0.0/16	AD
228. A company has a public website that recently experienced problems. Some links led to missing webpages, and other links rendered incorrect webpages. The application infrastructure was running properly, and all the provisioned resources were healthy. Application logs and dashboards did not show any errors, and no monitoring alarms were raised. Systems administrators were not aware of any problems until end users reported the issues. The company needs to proactively monitor the website for such issues in the future and must implement a solution as soon as possible. <br/>Which solution will meet these requirements with the LEAST operational overhead?	A. Rewrite the application to surface a custom error to the application log when issues occur. Automatically parse logs for errors. Create an Amazon CloudWatch alarm to provide alerts when issues are detected.	B. Create an AWS Lambda function to test the website. Configure the Lambda function to emit an Amazon CloudWatch custom metric when errors are detected. Configure a CloudWatch alarm to provide alerts when issues are detected	C. Create an Amazon CloudWatch Synthetics canary. Use the CloudWatch Synthetics Recorder plugin to generate the script for the canary run. Configure the canary in line with requirements. Create an alarm to provide alerts when issues are detected.	A
229. A company hosts a database on an Amazon RDS Multi-AZ DB instance. The database is not encrypted. The company's new security policy requires all AWS resources to be encrypted at rest and in transit. <br/>What should a SysOps administrator do to encrypt the database? 	A. Configure encryption on the existing DB instance.	B. Take a snapshot of the DB instance. Encrypt the snapshot. Restore the snapshot to the same DB instance.	C. Encrypt the standby replica in a secondary Availability Zone. Promote the standby replica to the primary DB instance.	D. Take a snapshot of the DB instance. Copy and encrypt the snapshot. Create a new DB instance by restoring the encrypted copy.	B
230. A company uses an Amazon S3 bucket to store data files. The S3 bucket contains hundreds of objects. The company needs to replace a tag on all the objects in the S3 bucket with another tag. <br/>What is the MOST operationally efficient way to meet this requirement? 	A. Use S3 Batch Operations. Specify the operation to replace all object tags.	B. Use the AWS CLI to get the tags for each object. Save the tags in a list. Use S3 Batch Operations. Specify the operation to delete all object tags. Use the AWS CLI and the list to retag the objects.	C. Use the AWS CLI to get the tags for each object. Save the tags in a list. Use the AWS CLI and the list to remove the object tags. Use the AWS CLI and the list to retag the objects.	D. Use the AWS CLI to copy the objects to another S3 bucket. Add the new tag to the copied objects. Delete the original objects.	A
231. A company runs several workloads on AWS. The company identifies five AWS Trusted Advisor service quota metrics to monitor in a specific AWS Region. The company wants to receive email notification each time resource usage exceeds 60% of one of the service quotas. <br/>Which solution will meet these requirements? 	A. Create five Amazon CloudWatch alarms, one for each Trusted Advisor service quota metric. Configure an Amazon Simple Notification Service (Amazon SNS) topic for email notification each time that usage exceeds 60% of one of the service quotas.	B. Create five Amazon CloudWatch alarms, one for each Trusted Advisor service quota metric. Configure an Amazon Simple Queue Service (Amazon SQS) queue for email notification each time that usage exceeds 60% of one of the service quotas.	C. Use the AWS Service Health Dashboard to monitor each Trusted Advisor service quota metric. Configure an Amazon Simple Queue Service (Amazon SQS) queue for email notification each time that usage exceeds 60% of one of the service quotas.	D. Use the AWS Service Health Dashboard to monitor each Trusted Advisor service quota metric. Configure an Amazon Simple Notification Service (Amazon SNS) topic for email notification each time that usage exceeds 60% of one of the service quotas.	D
232. A company runs its entire suite of applications on Amazon EC2 instances. The company plans to move the applications to containers and AWS Fargate. Within 6 months, the company plans to retire its EC2 instances and use only Fargate. The company has been able to estimate its future Fargate costs. A SysOps administrator needs to choose a purchasing option to help the company minimize costs. The SysOps administrator must maximize any discounts that are available and must ensure that there are no unused reservations. <br/>Which purchasing option will meet these requirements? 	A. Compute Savings Plans for 1 year with the No Upfront payment option	B. Compute Savings Plans for 1 year with the Partial Upfront payment option	C. EC2 Instance Savings Plans for 1 year with the All Upfront payment option	D. EC2 Reserved Instances for 1 year with the Partial Upfront payment option	C
233. A company creates a new member account by using AWS Organizations. A SysOps administrator needs to add AWS Business Support to the new account <br/>Which combination of steps must the SysOps administrator take to meet this requirement? (Select TWO.) 	A. Sign in to the new account by using 1AM credentials. Change the support plan.	B. Sign in to the new account by using root user credentials. Change the support plan.	C. Use the AWS Support API to change the support plan.	D. Reset the password of the account root user.	E. Create an IAM user that has administrator privileges in the new account.	BE
234. A company needs to automatically monitor an AWS account for potential unauthorized AWS Management Console logins from multiple geographic locations. <br/>Which solution will meet this requirement? 	A. Configure Amazon Cognito to detect any compromised 1AM credentials.	B. Set up Amazon Inspector. Scan and monitor resources for unauthorized logins.	C. Set up AWS Config. Add the iam-policy-blacklisted-check managed rule to the account.	D. Configure Amazon GuardDuty to monitor the UnauthorizedAccess:IAMUser/ConsoleLoginSuccess finding.	D
235. Application A runs on Amazon EC2 instances behind a Network Load Balancer (NLB). The EC2 instances are in an Auto Scaling group and are in the same subnet that is associated with the NLB. Other applications from an on-premises environment cannot communicate with Application A on port 8080. To troubleshoot the issue, a SysOps administrator analyzes the flow logs. The flow logs include the following records: <img src="./images/Q235.png" ><br/><br/>What is the reason for the rejected traffic? 	A. The security group of the EC2 instances has no Allow rule for the traffic from the NLB.	B. The security group of the NLB has no Allow rule for the traffic from the on-premises environment.	C. The ACL of the on-premises environment does not allow traffic to the AWS environment.	D. The network ACL that is associated with the subnet does not allow outbound traffic for the ephemeral port range.	A
236. A company's SysOps administrator deploys a public Network Load Balancer (NLB) in front of the company's web application. The web application does not use any Elastic IP addresses. Users must access the web application by using the company's domain name. The SysOps administrator needs to configure Amazon Route 53 to route traffic to the NLB. <br/>Which solution will meet these requirements MOST cost-effectively? 	A. Create a Route 53 AAAA record for the NLB.	B. Create a Route 53 alias record for the NLB.	C. Create a Route 53 CAA record for the NLB.	D. Create a Route 53 CNAME record for the NLB.	B
237. A company is creating a new multi-account architecture. A Sysops administrator must implement a login solution to centrally manage user access and permissions across all AWS accounts. The solution must be integrated with AWS Organizations and must be connected to a third-party Security Assertion Markup Language (SAML) 2.0 identity provider (IdP). <br/><br/>What should the SysOps administrator do to meet these requirements?	A. Configure an Amazon Cognito user pool. Integrate the user pool with the third-party IdP.	B. Enable and configure AWS Single Sign-On with the third-party IdP.	C. Federate the third-party IdP with AWS Identity and Access Management (IAM) for each AWS account in the organization.	D. Integrate the third-party IdP directly with AWS Organizations.	A
238. A company wants to use only IPv6 for all its Amazon EC2 instances. The EC2 instances must not be accessible from the internet, but the EC2 instances must be able to access the internet. The company creates a dual-stack VPC and IPv6-only subnets. <br/><br/>How should a SysOps administrator configure the VPC to meet these requirements?	A. Create and attach a NAT gateway. Create a custom route table that includes an entry to point all IPv6 traffic to the NAT gateway. Attach the custom route table to the IPv6-only subnets.	B. Create and attach an internet gateway. Create a custom route table that includes an entry to point all IPv6 traffic to the internet gateway. Attach the custom route table to the IPv6-only subnets.	C. Create and attach an egress-only internet gateway. Create a custom route table that includes an entry to point all IPv6 traffic to the egress-only internet gateway. Attach the custom route table to the IPv6-only subnets.	D. Create and attach an internet gateway and a NAT gateway. Create a custom route table that includes an entry to point all IPv6 traffic to the internet gateway and all IPv4 traffic to the NAT gateway. Attach the custom route table to the IPv6-only subnets.	C
239. A company wants to track its AWS costs in all member accounts that are part of an organization in AWS Organizations. Managers of the member accounts want to receive a notification when the estimated costs exceed a predetermined amount each month. The managers are unable to configure a billing alarm. The IAM permissions for all users are correct. <br/><br/>What could be the cause of this issue?	A. The management/payer account does not have billing alerts turned on.	B. The company has not configured AWS Resource Access Manager (AWS RAM) to share billing information between the member accounts and the management/payer account.	C. Amazon GuardDuty is turned on for all the accounts.	D. The company has not configured an AWS Config rule to monitor billing.	B
240. A SysOps administrator creates an AWS CloudFormation template to define an application stack that can be deployed in multiple AWS Regions. The SysOps administrator also creates an Amazon CloudWatch dashboard by using the AWS Management Console. Each deployment of the application requires its own CloudWatch dashboard. <br/><br/>How can the SysOps administrator automate the creation of the CloudWatch dashboard each time the application is deployed?	A. Create a script by using the AWS CLI to run the aws cloudformation put-dashboard command with the name of the dashboard. Run the command each time a new CloudFormation stack is created.	B. Export the existing CloudWatch dashboard as JSON. Update the CloudFormation template to define an AWS::CloudWatch::Dashboard resource. Include the exported JSON in the resource's DashboardBody property.	C. Update the CloudFormation template to define an resource. Use the intrinsic Ref function to reference the ID of the existing CloudWatch dashboard.	D. Update the CloudFormation template to define an AWS::CloudWatch::Dashboard resource. Specify the name of the existing dashboard in the DashboardName property.	A
241. A SysOps administrator is required to monitor free space on Amazon EBS volumes attached to Microsoft Windows-based Amazon EC2 instances within a company’s account. The administrator must be alerted to potential issues. <br/><br/>What should the administrator do to receive email alerts before low storage space affects EC2 instance performance?	A. Use built-in Amazon CloudWatch metrics, and configure CloudWatch alarms and an Amazon SNS topic for email notifications	B. Use AWS CloudTrail logs and configure the trail to send notifications to an Amazon SNS topic.	C. Use the Amazon CloudWatch agent to send disk space metrics, then set up CloudWatch alarms using an Amazon SNS topic.	D. Use AWS Trusted Advisor and enable email notification alerts for EC2 disk space	C
242. A company plans to migrate several of its high performance computing (MPC) virtual machines (VMs) to Amazon EC2 instances on AWS. A SysOps administrator must identify a placement group for this deployment. The strategy must minimize network latency and must maximize network throughput between the HPC VMs. <br/><br/>Which strategy should the SysOps administrator choose to meet these requirements?	A. Deploy the instances in a cluster placement group in one Availability Zone.	B. Deploy the instances in a partition placement group in two Availability Zones	C. Deploy the instances in a partition placement group in one Availability Zone	D. Deploy the instances in a spread placement group in two Availably Zones	A
243. company's VPC has connectivity to an on-premises data center through an AWS Site-to-Site VPN. The company needs Amazon EC2 instances in the VPC to send DNS queries for example com to the DNS servers in the data center. <br/><br/>Which solution will meet these requirements?	A. Create an Amazon Route 53 Resolver inbound endpoint Create a conditional forwarding rule on the on-primes DNS servers to forward DNS requests for example.com to the inbound endpoints.	B. Create an Amazon Route 53 Resolver inbound endpoint Create a forwarding rule on the resolver that sends all queries for example.com to the on-premises DNS servers. Associate this rule with the VPC.	C. Create an Amazon Route 53 Resolver outbound endpoint Create a conditional forwarding rule on the on-premises DNS servers to forward DNS requests for example.com to the outbound endpoints	D. Create an Amazon Route 53 Resolver outbound endpoint. Create a forwarding rule on the resolver that sends all queries for exarrc4e.com to the on-premises DNS servers Associate this rule with the VPC.	C
244. A software company runs a workload on Amazon EC2 instances behind an Application Load Balancer (ALB) A SysOcs administrator needs to define a custom health check for the EC2 instances.<br/><br/>What is the MOST operationally efficient solution?	A. Set up each EC2 Instance so that it writes its healthy/unhealthy status into a shared Amazon S3 bucket for the ALB to read	B. Configure the health check on the ALB and ensure that the HeathCheckPath setting s correct	C. Set up Amazon ElasticCache to track the EC2 instances as they scale in and out	D. Configure an Amazon API Gateway health check to ensure custom checks on aw of the EC2 instances	B
245. A SysOos administrator s tasked with analyzing database performance. The database runs on a single Amazon RDS D6 instance. The SysOps administrator finds that, during times of peak traffic, resources on the database are over utilized due to the amount of read traffic. <br/><br/>Which actions should the SysOps administrator take to improve RDS performance? (Select TWO.) 	A. Add a read replica.	B. Modify the application to use Amazon ElastiCache for Memcached.	C. Migrate the database from RDS to Amazon DynamoDB.	D. Migrate the database to Amazon EC2 with enhanced networking enabled	E. Upgrade the databaseto a Multi-AZ deployment.	AB
246. A company recently its server infrastructure to Amazon EC2 instances. The company wants to use Amazon CloudWatch metrics to track instance memory utilization and available disk space. What should a SysOps administrator do to meet these requirements	A. Configure CloudWatch from the AWS Management Console tor all the instances that require monitoring by CloudWatch. AWS automatically installs and configures the agents far the specified instances.	B. Install and configure the CloudWatch agent on all the instances. Attach an IAM role to allow the instances to write logs to CloudWatch.	C. Install and configure the CloudWatch agent on all the instances. Attach an IAM user to allow the instances to write logs to CloudWatch.	D. Install and configure the CloudWatch agent on all the instances. Attach the necessary security groups to allow the instances to write logs to CloudWatch	C
247. A SysOps administrator configures an Amazon S3 gateway endpoint in a VPC. The private subnets inside the VPC do not nave outbound internet access. A user logs in to an Amazon EC2 instance in one of the private subnets and cannot upload a file to an Amazon S3 bucket in the same AWS Region. <br/>Which solution will solve this problem?	A. Update the EC2 instance role policy to allow s3:PutObjed access to the target S3 bucket.	B. Update the EC2 security group to allow outbound traffic to 0.0.0.070 for port 80.	C. Update the EC2 subnet route table to include the S3 prefix list destination routes to the S3 gateway endpoint.	D. Update the S3 bucket policy to allow s3 PurObject access from the private subnet CIDR block.	C
248. A company applies user-defined tags to resources that are associated with me company's AWS workloads Twenty days after applying the tags, the company notices that it cannot use re tags to filter views in the AWS Cost Explorer console. <br/>What is the reason for this issue? 	A. It lakes at least 30 days to be able to use tags to filter views in Cost Explorer.	B. The company has not activated the user-defined tags for cost allocation.	C. The company has not created an AWS Cost and Usage Report	D. The company has not created a usage budget in AWS Budgets	B
